Date,y
1996-01-01,30983174
1996-02-01,32147663
1996-03-01,38342975
1996-04-01,35969113
1996-05-01,36474391
1996-06-01,38772238
1996-07-01,40395657
1996-08-01,41738499
1996-09-01,33580773
1996-10-01,36389842
1996-11-01,32734901
1996-12-01,36866146
1997-01-01,28829794
1997-02-01,29715369
1997-03-01,37179450
1997-04-01,34002004
1997-05-01,34585497
1997-06-01,36981956
1997-07-01,38912640
1997-08-01,39715971
1997-09-01,32047526
1997-10-01,34405523
1997-11-01,32121254
1997-12-01,34447370
1998-01-01,33809257
1998-02-01,32688448
1998-03-01,39908269
1998-04-01,38618515
1998-05-01,38823805
1998-06-01,41119273
1998-07-01,42153193
1998-08-01,43171610
1998-09-01,35309230
1998-10-01,38570506
1998-11-01,36291556
1998-12-01,37511830
1999-01-01,35450576
1999-02-01,34337785
1999-03-01,42448030
1999-04-01,40818378
1999-05-01,40464057
1999-06-01,43527294
1999-07-01,46918931
1999-08-01,45841044
1999-09-01,37829297
1999-10-01,41651047
1999-11-01,39875749
1999-12-01,39190232
2000-01-01,36195402
2000-02-01,37239740
2000-03-01,45664486
2000-04-01,43262977
2000-05-01,44467601
2000-06-01,47261820
2000-07-01,48826557
2000-08-01,48160579
2000-09-01,39573944
2000-10-01,42900870
2000-11-01,41847515
2000-12-01,40727132
2001-01-01,38306506
2001-02-01,36969339
2001-03-01,45686100
2001-04-01,43711664
2001-05-01,43674826
2001-06-01,46654145
2001-07-01,49597273
2001-08-01,50169907
2001-09-01,27077913
2001-10-01,34181554
2001-11-01,34749808
2001-12-01,35726959
2002-01-01,33895671
2002-02-01,33620972
2002-03-01,42633492
2002-04-01,39536354
2002-05-01,40895024
2002-06-01,44060019
2002-07-01,47183364
2002-08-01,46899366
2002-09-01,34776695
2002-10-01,40093025
2002-11-01,37213997
2002-12-01,42407172
2003-01-01,37197809
2003-02-01,35099316
2003-03-01,42910514
2003-04-01,40370292
2003-05-01,41875126
2003-06-01,45592190
2003-07-01,49633439
2003-08-01,48343838
2003-09-01,37858815
2003-10-01,42507287
2003-11-01,40238253
2003-12-01,43698675
2004-01-01,39180114
2004-02-01,39736435
2004-03-01,47876012
2004-04-01,47050439
2004-05-01,46534130
2004-06-01,51134050
2004-07-01,54317314
2004-08-01,52392985
2004-09-01,41816777
2004-10-01,47205665
2004-11-01,44553653
2004-12-01,46316602
2005-01-01,42760657
2005-02-01,41120838
2005-03-01,52053059
2005-04-01,48152585
2005-05-01,50047901
